id,created_at,update_at,is_active,title,gtype,entity,external_link,rtype_id,summary,classification_id
1,2024-06-05,2026-04-26 03:55:21,t,Decreto 720 de 2024,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_720_de_2024.pdf,14,"Por el cual modificaron los artículos 2.2.2.5.1 al 2.2.2.5.4 del decreto 1072 de 2015, los cuales indican los permisos sindicales...",13
2,2024-02-29,2026-04-26 03:55:21,t,Decreto 0243 de 2024,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_0243_de_2024.pdf,14,"Por el cual se modifica el capítulo 4 del titulo 2 de la parte 2 del libreo 2 del decreto 1072 de 2015, único reglamentario del se...",13
3,2024-02-20,2026-04-26 03:55:21,t,Decreto 0199 de 2024 o el que lo sustituya o modifique,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_0199_de_2024.pdf,14,Por el cual se establece el plan de austeridad del gasto 2024 para los órganos que hacen parte del presupuesto general de la nació...,13
4,2024-01-11,2026-04-26 03:55:21,t,Decreto 008 de 2024,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_008_de_2024.pdf,14,Por el cual se modifica el artículo 5 del decreto 4165 de 2011 y se dictan otras disposiciones,13
5,2022-07-29,2026-04-26 03:55:21,t,Decreto 1430 de 2022,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_1430_de_2022.pdf,14,Por medio del cual se aprueba el plan nacional de seguridad vial 2022-2023,13
6,2022-07-27,2026-04-26 03:55:21,t,Decreto 1369 de 2022,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_1369_de_2022.pdf,14,"Por medio del cual se deroga parcialmente el capítulo 8 del título 1 de la parte 2 del libro 2 del decreto 1079 de 2015, único reg...",13
7,2022-06-13,2026-04-26 03:55:21,t,Decreto 998 de 2022,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_998_de_2022.pdf,14,Por medio del cual se corrige un yerro en la ley 2161 del 26 de noviembre de 2021 por la cual se establecen medidas para promover...,13
8,2022-06-13,2026-04-26 03:55:21,t,Decreto 997 de 2022,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_997_de_2022_0.pdf,14,"Por medio del cual se adiciona el capítulo 4 al título 2 de la parte 2 del libro 2 del decreto 1079 de 2015, único reglamentario d...",13
9,2022-05-31,2026-04-26 03:55:21,t,Decreto 935 de 2022,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_935_de_2022.pdf,14,Por el cual se crea la comisión intersectorial de logística y transporte,13
10,2022-05-13,2026-04-26 03:55:21,t,Decreto 746 de 2022,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_746_de_2022.pdf,14,Por el cual se modifica la estructura de la agencia nacional de infraestructura y se determinan las funciones de sus dependencias.,13
11,2021-12-24,2026-04-26 03:55:25,t,Decreto 1860 de 2021,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_1860_de_2021.pdf,14,"Por el cual se modifica y adiciona el decreto 1082 de 2015, único reglamentario del sector administrativo de planeación nacional,...",13
12,2021-10-12,2026-04-26 03:55:25,t,Decreto 1252 de 2021,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_1252_de_2021.pdf,14,Por el cual se modifica el literal a del artículo 2.3.2.1 del título 2 de la parte 3 del li­bro 2 y se sustituye el capítulo 3 del...,13
13,2021-08-26,2026-04-26 03:55:25,t,Decreto 1009 de 2021,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_1009_de_2021.pdf,14,Por el cual se modifica el artículo 2.2.1.7.7.1.3. de la subsección 1 de la sección 7 del capítulo7 del título 1 de la parte 2 del...,13
14,2021-06-22,2026-04-26 03:55:25,t,Decreto 680 de 2021,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_680_del_22_de_junio_de_2021.pdf,14,"Por el cual se modifica parcialmente el artículo 2.2.1.1.1.3.1. y se adiciona el artículo 2.2.1.2.4.2.9. al decreto 1082 de 2015,...",13
15,2021-05-12,2026-04-26 03:55:25,t,Decreto 478 de 2021,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_478_de_2021.pdf,14,"Por el cual se modifica y adiciona el capítulo 6 del título 1 de la parte 2 del libro 2 del decreto 1079 de 2015, único reglamenta...",13
16,2021-04-06,2026-04-26 03:55:25,t,Decreto 344 de 2021,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_344_de_2021.pdf,14,Por el cual reglamenta los permisos sindicales en el sector público,13
17,2021-02-23,2026-04-26 03:55:25,t,Decreto 191 de 2021,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_191_de_2021.pdf,14,"Por el cual se adiciona la parte 6 al libro 2 del decreto 1079 de 2015, único reglamentario del sector transporte, en lo relaciona...",13
18,2020-05-30,2026-04-26 03:55:25,t,Decreto 768 de 2020,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_768_del_30_de_mayo_de_2020.pdf,14,"En ejercicio de las atribuciones que le confieren el artículo 215 de la constitución política, en concordancia con la ley 137 de 1...",13
19,2020-05-02,2026-04-26 03:55:25,t,Decreto 620 de 2020,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_620_de_2020.pdf,14,"Por el cual se subroga el título 17 de la parte 2 del libro 2 del decreto 1078 de 2015, para reglamentarse parcialmente los artíc...",13
20,2020-04-15,2026-04-26 03:55:25,t,Decreto 569 de 2020,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_569_del_15_de_abril_de_2020.pdf,14,"Por la cual se adoptan medidas sobre la prestación del servicio público de transporte y su infraestructura, dentro del estado de e...",13
21,2020-03-26,2026-04-26 03:55:29,t,Decreto 482 de 2020,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_482_del_26_de_marzo_de_2020.pdf,14,"Por el cual se dictan medidas sobre la prestación del servicio público de transporte y su infraestructura, dentro del estado de em...",13
22,2020-03-19,2026-04-26 03:55:29,t,Decreto 438 de 2020,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_438_de_2020.pdf,14,"Por el cual se adoptan medidas tributarias transitorias dentro del estado de emergencia económica, social y ecológica de conformid...",13
23,2019-12-02,2026-04-26 03:55:29,t,DECRETO 2106 DE 2019,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_no._2106_de_2019.pdf,14,"Por el cual se dictan normas para simplificar, suprimir y reformar trámites, procesos y procedimientos innecesarios existentes en...",13
24,2018-03-02,2026-04-26 03:55:29,t,Decreto 412 de 2018,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_412_de_2018.pdf,14,Por el cual se modifica parcialmente el decreto 1068 de 2015 en el libro 2 régimen reglamentario del sector hacienda y crédito púb...,13
25,2018-02-07,2026-04-26 03:55:29,t,DECRETO 1499 DE 2017,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_1499_2017.pdf,14,"Por medio del cual se modifica el decreto 1083 de 2015, decreto único reglamentario del sector función pública, en lo relacionado...",13
26,2018-02-07,2026-04-26 03:55:29,t,DECRETO 111 DE 1996,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_111_de_1996.pdf,14,"Por el cual se compilan la ley 38 de 1989, la ley 179 de 1994 y la ley 225 de 1995 que conforman el estatuto orgánico del presupue...",13
27,2018-02-07,2026-04-26 03:55:29,t,DECRETO 1515 DE 2013,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_1515_de_2013.pdf,14,Por el cual se reglamenta la ley 80 de 1989 en lo concerniente a las transferencias secundarias y de documentos de valor histórico...,13
28,2018-02-07,2026-04-26 03:55:29,t,DECRETO 423 DE 2001,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_423_de_2001.pdf,14,Por el cual se reglamentan parcialmente las leyes 448 de 1998 y 185 de 1995,13
29,2018-02-07,2026-04-26 03:55:29,t,DECRETO 4473 DE 2006,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_4473_de_2006.pdf,14,Por el cual se reglamenta la ley 1066 de 2006.,13
30,2018-02-05,2026-04-26 03:55:29,t,Decreto 2400 de 1968,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto-2400-19sep1968.pdf,14,Por el cual se modifican las normas que regula la administración del personal civil y se dictan otras disposiciones,13
31,2018-02-05,2026-04-26 03:55:33,t,Decreto 1567 de 1998,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto-1567-de-1998.pdf,14,Por el cual se crean el sistema nacional de capacitación y el sistema de estímulos para los empleados del estado,13
32,2017-12-20,2026-04-26 03:55:33,t,Decreto 2157 de 2017,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/2.decreto_2157_de_2017.pdf,14,Por medio del cual se adoptan directrices generales para la elaboración del plan de gestión del riesgo de desastres de las entidad...,13
33,2017-08-16,2026-04-26 03:55:33,t,Decreto 648 de 2017,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_648_de_2017.pdf,14,"Por el cual se modifica y adiciona el decreto 1083 de 2015, reglamento único del sector de la función pública",13
34,2016-09-13,2026-04-26 03:55:33,t,Decreto 1026 de 2014,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_1026.pdf,14,"Por el cual se reglamenta la forma en que podrán establecerse en proyectos de asociación público privada, unidades funcionales de...",13
35,2016-09-13,2026-04-26 03:55:33,t,Decreto 727 de 2013,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_727.pdf,14,Evaluación economica: concepto por parte de la agencia nacional inmobiliaria virgilio barco/aplica para sedes administrativas en b...,13
36,2016-09-13,2026-04-26 03:55:33,t,Decreto 1873 de 2008,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_1873.pdf,14,Por el cual se adoptan los criterios para determinar el cobro de las contraprestaciones por concepto de las concesiones portuaria...,13
37,2016-09-13,2026-04-26 03:55:33,t,Decreto 1900 de 2006,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_1900.pdf,14,Por el cual se reglamenta el parágrafo del artículo 43 de la ley 99 de 1993 y se dictan otras disposiciones,13
38,2016-09-13,2026-04-26 03:55:33,t,Decreto 3600 de 2007,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_3600.pdf,14,Por el cual se reglamentan las disposiciones de las leyes 99 de 1993 y 388 de 1997 relativas a las determinantes de ordenamiento...,13
39,2016-09-13,2026-04-26 03:55:33,t,Decreto 4066 de 2008,link,Agencia Nacional de Infraestructura,https://www.ani.gov.co/sites/default/files/decreto_4066.pdf,14,"Por el cual se modifican los artículos 1, 9, 10, 11, 14, 17,18 y 19 del decreto 3600 de 2007 y se dictan otras disposiciones",13
